Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-08-04,2015,8,4,Tuesday,28.799999237060547,28.190000534057617,28.579999923706055,451200,28.579999923706055,0.00669251631357537,27.156428745814733,28.210000114440916
2015-08-05,2015,8,5,Wednesday,29.84000015258789,28.600000381469727,29.469999313354492,996200,29.469999313354492,0.03114063652989074,27.35500008719308,28.271000099182128
2015-08-06,2015,8,6,Thursday,28.780000686645508,26.110000610351562,26.219999313354492,2301400,26.219999313354492,-0.11028164491769243,27.349999972752162,28.255800094604492
2015-08-07,2015,8,7,Friday,27.100000381469727,26.149999618530273,26.34000015258789,664900,26.34000015258789,0.0045766911661313525,27.33142852783203,28.24940010070801
2015-08-10,2015,8,10,Monday,26.739999771118164,26.100000381469727,26.219999313354492,366400,26.219999313354492,-0.0045558404912009465,27.300714220319474,28.235200080871582
2015-08-11,2015,8,11,Tuesday,26.530000686645508,25.790000915527344,26.0,243400,26.0,-0.008390515603196147,27.23071425301688,28.213400077819824
2015-08-12,2015,8,12,Wednesday,26.6299991607666,25.31999969482422,26.329999923706055,707400,26.329999923706055,0.012692304757925266,27.189285687037877,28.18740009307861
2015-08-13,2015,8,13,Thursday,26.84000015258789,25.979999542236328,26.100000381469727,522700,26.100000381469727,-0.00873526558688853,27.15785707746233,28.131200103759767
2015-08-14,2015,8,14,Friday,26.350000381469727,25.950000762939453,26.209999084472656,358800,26.209999084472656,0.0042145096320007625,27.169999803815568,28.07700008392334
2015-08-17,2015,8,17,Monday,27.469999313354492,25.90999984741211,27.399999618530273,473800,27.399999618530273,0.045402540084886756,27.189999716622488,28.051200065612793
2015-08-18,2015,8,18,Tuesday,27.780000686645508,26.850000381469727,27.219999313354492,352400,27.219999313354492,-0.006569354294955865,27.183571134294784,28.013600044250488
2015-08-19,2015,8,19,Wednesday,27.3700008392334,26.809999465942383,27.0,399000,27.0,-0.00808226741014495,27.13714259011405,27.963600044250487
2015-08-20,2015,8,20,Thursday,26.99799919128418,26.139999389648438,26.25,662000,26.25,-0.02777777777777779,26.980713980538503,27.885400047302245
2015-08-21,2015,8,21,Friday,26.115999221801758,25.010000228881836,25.100000381469727,976500,25.100000381469727,-0.04380950927734373,26.745714051382883,27.79360004425049
2015-08-24,2015,8,24,Monday,25.399999618530273,21.040000915527344,25.399999618530273,1057300,25.399999618530273,0.011952160657416666,26.518571172441757,27.716000022888185
2015-08-25,2015,8,25,Tuesday,26.3799991607666,25.149999618530273,25.18000030517578,584600,25.18000030517578,-0.00866139041962799,26.21214267185756,27.63140003204346
2015-08-26,2015,8,26,Wednesday,25.8799991607666,25.1200008392334,25.739999771118164,383200,25.739999771118164,0.02223985143587437,26.17785699026925,27.537000045776367
2015-08-27,2015,8,27,Thursday,26.93000030517578,25.670000076293945,26.3700008392334,469300,26.3700008392334,0.024475566189481324,26.179999896458217,27.45360004425049
2015-08-28,2015,8,28,Friday,26.61199951171875,25.139999389648438,25.90999984741211,280700,25.90999984741211,-0.017444102282200058,26.15785707746233,27.344800033569335
2015-08-31,2015,8,31,Monday,25.790000915527344,24.850000381469727,25.079999923706055,701300,25.079999923706055,-0.03203396096464872,26.092142786298478,27.210400047302247
2015-09-01,2015,9,1,Tuesday,25.299999237060547,24.540000915527344,24.920000076293945,631100,24.920000076293945,-0.006379579262313917,25.991428511483328,27.081600036621094
2015-09-02,2015,9,2,Wednesday,25.299999237060547,23.600000381469727,24.639999389648438,878600,24.639999389648438,-0.011235982575773296,25.887142726353236,26.93800003051758
2015-09-03,2015,9,3,Thursday,25.309999465942383,24.31999969482422,24.8700008392334,477300,24.8700008392334,0.009334474646196078,25.791428565979004,26.806200065612792
2015-09-04,2015,9,4,Friday,24.940000534057617,24.040000915527344,24.690000534057617,535700,24.690000534057617,-0.007237647732276087,25.597857202802384,26.679800071716308
2015-09-08,2015,9,8,Tuesday,26.0,24.770000457763672,25.770000457763672,426000,25.770000457763672,0.043742401796075026,25.49428585597447,26.604400062561034
2015-09-09,2015,9,9,Wednesday,26.389999389648438,25.190000534057617,25.459999084472656,725200,25.459999084472656,-0.012029544733578867,25.38428579057966,26.550000038146973
2015-09-10,2015,9,10,Thursday,25.520000457763672,24.31999969482422,24.709999084472656,789000,24.709999084472656,-0.029457974350729832,25.27428572518485,26.480400009155275
2015-09-11,2015,9,11,Friday,25.43000030517578,24.548999786376953,25.209999084472656,326200,25.209999084472656,0.020234723534012344,25.282142775399343,26.41879997253418
2015-09-14,2015,9,14,Monday,25.489999771118164,24.899999618530273,25.209999084472656,184200,25.209999084472656,0.0,25.268571308680944,26.380199966430663
2015-09-15,2015,9,15,Tuesday,25.309999465942383,24.399999618530273,24.809999465942383,239000,24.809999465942383,-0.01586670500026477,25.24214267730713,26.33099994659424
2015-09-16,2015,9,16,Wednesday,24.90999984741211,23.940000534057617,24.25,554800,24.25,-0.022571522692336865,25.13571412222726,26.279399948120115
2015-09-17,2015,9,17,Thursday,25.389999389648438,24.100000381469727,25.280000686645508,578100,25.280000686645508,0.04247425511940239,25.057856968470983,26.263399963378905
2015-09-18,2015,9,18,Friday,25.149999618530273,24.479999542236328,24.8799991607666,460200,24.8799991607666,-0.015822844739486586,24.984285490853445,26.228799934387208
2015-09-21,2015,9,21,Monday,25.040000915527344,24.270000457763672,24.6200008392334,382800,24.6200008392334,-0.010450093661707016,24.951428413391113,26.181599960327148
2015-09-22,2015,9,22,Tuesday,24.56999969482422,24.170000076293945,24.510000228881836,422100,24.510000228881836,-0.004467936905033332,24.922142710004533,26.13879997253418
2015-09-23,2015,9,23,Wednesday,25.360000610351562,24.520000457763672,25.1200008392334,346600,25.1200008392334,0.02488782556732727,24.95642852783203,26.10219997406006
2015-09-24,2015,9,24,Thursday,25.649999618530273,24.799999237060547,25.610000610351562,580500,25.610000610351562,0.019506359663526096,25.00928565434047,26.085799980163575
2015-09-25,2015,9,25,Friday,26.639999389648438,25.469999313354492,25.719999313354492,715300,25.719999313354492,0.004295146442068631,25.08285699571882,26.06639995574951
2015-09-28,2015,9,28,Monday,25.360000610351562,23.399999618530273,24.600000381469727,1871400,24.600000381469727,-0.04354583832757852,24.999285561697825,26.03259994506836
2015-09-29,2015,9,29,Tuesday,24.670000076293945,23.389999389648438,23.59000015258789,700700,23.59000015258789,-0.041056919236579836,24.86571420942034,25.97239994049072
2015-09-30,2015,9,30,Wednesday,25.25,23.530000686645508,25.209999084472656,879200,25.209999084472656,0.06867312087350896,24.901428495134628,25.94359992980957
2015-10-01,2015,10,1,Thursday,25.399999618530273,24.40999984741211,25.290000915527344,565600,25.290000915527344,0.0031734166584702628,24.907142911638534,25.90979995727539
2015-10-02,2015,10,2,Friday,25.700000762939453,24.670000076293945,25.670000076293945,553100,25.670000076293945,0.015025668130098424,24.940000125340053,25.884999961853026
2015-10-05,2015,10,5,Monday,26.889999389648438,25.719999313354492,26.040000915527344,535400,26.040000915527344,0.014413745155189561,25.02785737173898,25.874999961853028
2015-10-06,2015,10,6,Tuesday,26.530000686645508,25.549999237060547,25.760000228881836,306800,25.760000228881836,-0.010752714162868826,25.135714530944824,25.86939994812012
2015-10-07,2015,10,7,Wednesday,26.049999237060547,25.559999465942383,25.780000686645508,961100,25.780000686645508,0.0007764152789582202,25.17142881665911,25.842599945068358
2015-10-08,2015,10,8,Thursday,26.950000762939453,25.65999984741211,26.270000457763672,547200,26.270000457763672,0.019006972772191988,25.270714623587473,25.821799964904784
2015-10-09,2015,10,9,Friday,27.329999923706055,26.149999618530273,27.110000610351562,383700,27.110000610351562,0.03197564286070054,25.448571750095912,25.810999984741212
2015-10-12,2015,10,12,Monday,27.229999542236328,26.6200008392334,26.739999771118164,292300,26.739999771118164,-0.013648130981307238,25.60785743168422,25.77699996948242
2015-10-13,2015,10,13,Tuesday,26.899999618530273,26.520000457763672,26.639999389648438,206900,26.639999389648438,-0.0037397300794944632,25.716428756713867,25.74199996948242
2015-10-14,2015,10,14,Wednesday,27.607999801635742,26.649999618530273,26.940000534057617,491300,26.940000534057617,0.011261304477572676,25.811428751264298,25.70919998168945
2015-10-15,2015,10,15,Thursday,27.479999542236328,26.59000015258789,27.40999984741211,367500,27.40999984741211,0.01744615085513157,25.93214307512556,25.667999992370607
2015-10-16,2015,10,16,Friday,28.0,27.31999969482422,27.709999084472656,203600,27.709999084472656,0.010944882843144876,26.154285839625768,25.69779998779297
2015-10-19,2015,10,19,Monday,27.790000915527344,27.15999984741211,27.399999618530273,213100,27.399999618530273,-0.011187278101214115,26.426428658621653,25.718999977111817
2015-10-20,2015,10,20,Tuesday,27.395000457763672,26.809999465942383,27.149999618530273,275800,27.149999618530273,-0.00912408771826878,26.565000125340053,25.737599983215333
2015-10-21,2015,10,21,Wednesday,27.360000610351562,26.549999237060547,26.860000610351562,222400,26.860000610351562,-0.010681363250582998,26.67714296068464,25.754799995422363
2015-10-22,2015,10,22,Thursday,28.040000915527344,27.200000762939453,27.84000015258789,494200,27.84000015258789,0.03648546239640238,26.832142966134207,25.785
2015-10-23,2015,10,23,Friday,28.329999923706055,27.829999923706055,28.170000076293945,236100,28.170000076293945,0.011853445470451307,26.984285763331822,25.826399993896484
2015-10-26,2015,10,26,Monday,28.43000030517578,27.899999618530273,28.239999771118164,295300,28.239999771118164,0.002484902187952942,27.161428587777273,25.867000007629393
2015-10-27,2015,10,27,Tuesday,28.34000015258789,27.68000030517578,27.81999969482422,380500,27.81999969482422,-0.014872524068625936,27.30714280264718,25.875400009155275
2015-10-28,2015,10,28,Wednesday,27.895000457763672,27.399999618530273,27.510000228881836,669600,27.510000228881836,-0.011143043470272063,27.39571421486991,25.88120002746582
2015-10-29,2015,10,29,Thursday,27.56999969482422,27.15999984741211,27.219999313354492,246100,27.219999313354492,-0.010541654420739732,27.403571265084402,25.885600013732912
2015-10-30,2015,10,30,Friday,27.65999984741211,27.18000030517578,27.479999542236328,258100,27.479999542236328,0.0095518087964932,27.456428391592844,25.910200004577636
2015-11-02,2015,11,2,Monday,27.889999389648438,27.200000762939453,27.59000015258789,342300,27.59000015258789,0.0040029334855880006,27.524285588945663,25.96
2015-11-03,2015,11,3,Tuesday,27.700000762939453,27.399999618530273,27.469999313354492,285900,27.469999313354492,-0.00434943235120433,27.562142644609725,26.001399993896484
2015-11-04,2015,11,4,Wednesday,28.239999771118164,27.219999313354492,27.43000030517578,798600,27.43000030517578,-0.0014560978951050352,27.563571248735702,26.046399993896486
2015-11-05,2015,11,5,Thursday,32.86000061035156,29.100000381469727,32.40999984741211,3590700,32.40999984741211,0.18155302540396434,27.899285588945663,26.179799995422364
2015-11-06,2015,11,6,Friday,32.83000183105469,30.059999465942383,30.540000915527344,1791800,30.540000915527344,-0.05769820859885266,28.123571395874023,26.26319999694824
2015-11-09,2015,11,9,Monday,31.850000381469727,30.34000015258789,31.209999084472656,558200,31.209999084472656,0.021938380774725763,28.41357135772705,26.36919998168945
2015-11-10,2015,11,10,Tuesday,32.400001525878906,31.049999237060547,32.209999084472656,499600,32.209999084472656,0.03204101343589949,28.795714105878556,26.511799964904785
2015-11-11,2015,11,11,Wednesday,32.5,31.3700008392334,32.060001373291016,382700,32.060001373291016,-0.004656867911987939,29.09714276450021,26.654599990844726
2015-11-12,2015,11,12,Thursday,33.41999816894531,31.899999618530273,32.93000030517578,625700,32.93000030517578,0.027136584361145966,29.437142780848912,26.820400009155275
2015-11-13,2015,11,13,Friday,33.25,31.040000915527344,31.31999969482422,1038000,31.31999969482422,-0.04889160629915057,29.657142775399343,26.94939998626709
2015-11-16,2015,11,16,Monday,32.459999084472656,31.32900047302246,31.81999969482422,518300,31.81999969482422,0.015964240257723583,29.94285706111363,27.091999969482423
2015-11-17,2015,11,17,Tuesday,32.2599983215332,30.1200008392334,31.81999969482422,492200,31.81999969482422,0.0,30.2507141658238,27.212999954223633
2015-11-18,2015,11,18,Wednesday,32.209999084472656,31.729999542236328,31.950000762939453,308100,31.950000762939453,0.004085514436267479,30.588571412222727,27.34279998779297
2015-11-19,2015,11,19,Thursday,32.41999816894531,31.90999984741211,32.290000915527344,481400,32.290000915527344,0.010641632064756434,30.93214293888637,27.494400024414062
2015-11-20,2015,11,20,Friday,33.02000045776367,32.2599983215332,32.689998626708984,580200,32.689998626708984,0.012387664906794438,31.296428544180735,27.64400001525879
2015-11-23,2015,11,23,Monday,32.95000076293945,31.860000610351562,32.16999816894531,467700,32.16999816894531,-0.015907019871784667,31.632142748151505,27.78319999694824
2015-11-24,2015,11,24,Tuesday,32.13999938964844,30.940000534057617,31.229999542236328,335600,31.229999542236328,-0.029219728946593304,31.903571265084402,27.91159999847412
2015-11-25,2015,11,25,Wednesday,31.350000381469727,30.329999923706055,30.989999771118164,778300,30.989999771118164,-0.00768491113147729,31.802142688206263,28.046399993896486
2015-11-27,2015,11,27,Friday,32.13999938964844,31.030000686645508,31.610000610351562,286300,31.610000610351562,0.020006480923282277,31.878571237836564,28.172999992370606
2015-11-30,2015,11,30,Monday,31.799999237060547,30.40999984741211,31.06999969482422,610300,31.06999969482422,-0.017083230151868634,31.868571281433105,28.296800003051757
