Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-08-13,2014,8,13,Wednesday,39.66,45.8,39.66,45.21,1240600,45.21,0.14862800770847961,37.42928571428572,35.2296
2014-08-14,2014,8,14,Thursday,44.66,45.08,42.17,42.76,596000,42.76,-0.05419156851478246,37.96714285714286,35.37179999999999
2014-08-15,2014,8,15,Friday,43.28,43.32,40.85,40.93,339200,40.93,-0.04279696183794901,38.175000000000004,35.444399999999995
2014-08-18,2014,8,18,Monday,41.39,44.22,40.8,41.11,666100,41.11,0.004397759683207658,38.42642857142857,35.51359999999999
2014-08-19,2014,8,19,Tuesday,41.5,42.93,41.28,42.41,422500,42.41,0.03162245725516244,38.847142857142856,35.5798
2014-08-20,2014,8,20,Wednesday,42.4,42.59,40.85,42.45,306000,42.45,0.0009431953706970919,39.28714285714286,35.6686
2014-08-21,2014,8,21,Thursday,42.78,44.03,42.78,43.45,432400,43.45,0.023557125607239993,39.836428571428584,35.827999999999996
2014-08-22,2014,8,22,Friday,43.6,45.66,41.86,42.76,900600,42.76,-0.01588037811945875,40.3007142857143,36.0102
2014-08-25,2014,8,25,Monday,43.76,44.19,38.0,39.16,1591600,39.16,-0.0841908001738203,40.53857142857144,36.0734
2014-08-26,2014,8,26,Tuesday,39.02,39.13,37.9,38.48,763600,38.48,-0.017364665674806434,40.65000000000001,36.1432
2014-08-27,2014,8,27,Wednesday,38.9,39.25,38.56,38.96,332000,38.96,0.012474000726259593,40.87357142857144,36.207
2014-08-28,2014,8,28,Thursday,38.83,38.83,38.21,38.68,128400,38.68,-0.007186827152890429,41.03642857142858,36.2808
2014-08-29,2014,8,29,Friday,38.53,38.91,37.58,38.44,198600,38.44,-0.006204800325057991,41.011428571428574,36.3606
2014-09-02,2014,9,2,Tuesday,38.35,39.49,37.95,39.32,319900,39.32,0.022892848583605074,41.008571428571436,36.448
2014-09-03,2014,9,3,Wednesday,39.66,42.0,39.21,40.84,1052300,40.84,0.038657183864722944,40.69642857142858,36.560399999999994
2014-09-04,2014,9,4,Thursday,40.04,40.39,39.65,39.65,4603700,39.65,-0.02913806616706338,40.47428571428572,36.645199999999996
2014-09-05,2014,9,5,Friday,40.0,40.17,39.14,39.75,869800,39.75,0.002522029515076518,40.39000000000001,36.730599999999995
2014-09-08,2014,9,8,Monday,39.65,40.15,39.56,39.7,1342200,39.7,-0.001257842441774737,40.289285714285725,36.831599999999995
2014-09-09,2014,9,9,Tuesday,39.52,39.9,38.5,39.26,1234200,39.26,-0.011083184709079319,40.06428571428573,36.93279999999999
2014-09-10,2014,9,10,Wednesday,39.21,39.55,38.6,38.88,638900,38.88,-0.009678993114208834,39.80928571428573,37.002199999999995
2014-09-11,2014,9,11,Thursday,38.6,38.99,37.02,37.72,1033100,37.72,-0.02983538620227566,39.40000000000001,37.0802
2014-09-12,2014,9,12,Friday,37.7,39.49,37.7,39.45,1762300,39.45,0.045864249370352494,39.163571428571444,37.193799999999996
